list index out of range: {'origin': 'ws', 'forged': ['ws', 'ЦС'], 'suggest': ['', ''], 'relatives': ['ws']}
list index out of range: {'origin': 'cgi', 'forged': ['cgi', 'KΓI'], 'suggest': ['', ''], 'relatives': ['cgi']}
list index out of range: {'origin': 'sms', 'forged': ['sms', 'СMС'], 'suggest': ['', ''], 'relatives': ['sms']}
list index out of range: {'origin': 'vip', 'forged': ['vip', 'VIП'], 'suggest': ['', ''], 'relatives': ['vip']}
list index out of range: {'origin': 'po', 'forged': ['po', 'ПO'], 'suggest': ['', ''], 'relatives': ['po']}
list index out of range: {'origin': 'mailman', 'forged': ['mailman', 'MΛILMΛN'], 'suggest': ['', ''], 'relatives': ['mailman']}
list index out of range: {'origin': 'rrp', 'forged': ['rrp', 'RRП'], 'suggest': ['', ''], 'relatives': ['rrp']}
list index out of range: {'origin': 'ban', 'forged': ['ban', 'VΛN'], 'suggest': ['', ''], 'relatives': ['ban']}
list index out of range: {'origin': 'pb', 'forged': ['pb', 'ПV'], 'suggest': ['', ''], 'relatives': ['pb']}
list index out of range: {'origin': 'vg', 'forged': ['vg', 'VΓ'], 'suggest': ['', ''], 'relatives': ['vg']}
list index out of range: {'origin': 'jpg', 'forged': ['jpg', 'JПΓ'], 'suggest': ['', ''], 'relatives': ['jpg']}
list index out of range: {'origin': 'aol', 'forged': ['aol', 'ΛOL'], 'suggest': ['', ''], 'relatives': ['aol']}
list index out of range: {'origin': 'pdt', 'forged': ['pdt', 'ПΔT'], 'suggest': ['', ''], 'relatives': ['pdt']}
list index out of range: {'origin': 'tv', 'forged': ['tv', 'TV'], 'suggest': ['', ''], 'relatives': ['tv']}
list index out of range: {'origin': 'use', 'forged': ['use', 'UСΣ'], 'suggest': ['', ''], 'relatives': ['use']}
list index out of range: {'origin': 'idle', 'forged': ['idle', 'IΔLΣ'], 'suggest': ['', ''], 'relatives': ['idle']}
list index out of range: {'origin': 'nfl', 'forged': ['nfl', 'NFL'], 'suggest': ['', ''], 'relatives': ['nfl']}
list index out of range: {'origin': 'html', 'forged': ['html', 'ХTML'], 'suggest': ['', ''], 'relatives': ['html']}
list index out of range: {'origin': 'rss', 'forged': ['rss', 'RСС'], 'suggest': ['', ''], 'relatives': ['rss']}
list index out of range: {'origin': 'vary', 'forged': ['vary', 'VΛRY'], 'suggest': ['', ''], 'relatives': ['vary']}
list index out of range: {'origin': 'nokia', 'forged': ['nokia', 'NOKIΛ'], 'suggest': ['', ''], 'relatives': ['nokia']}
list index out of range: {'origin': 'screensaver', 'forged': ['screensaver', 'СKRΣINСΛVΣR'], 'suggest': ['', ''], 'relatives': ['screensaver']}
list index out of range: {'origin': 'age', 'forged': ['age', 'ΛΓΣ'], 'suggest': ['', ''], 'relatives': ['age']}
list index out of range: {'origin': 'mv', 'forged': ['mv', 'MV'], 'suggest': ['', ''], 'relatives': ['mv']}
list index out of range: {'origin': 'oclc', 'forged': ['oclc', 'OKLK'], 'suggest': ['', ''], 'relatives': ['oclc']}
list index out of range: {'origin': 'usd', 'forged': ['usd', 'UСΔ'], 'suggest': ['', ''], 'relatives': ['usd']}
list index out of range: {'origin': 'ssl', 'forged': ['ssl', 'ССL'], 'suggest': ['', ''], 'relatives': ['ssl']}
list index out of range: {'origin': 'grew', 'forged': ['grew', 'ΓRΣЦ'], 'suggest': ['', ''], 'relatives': ['grew']}
list index out of range: {'origin': 'tap', 'forged': ['tap', 'TΛП'], 'suggest': ['', ''], 'relatives': ['tap']}
list index out of range: {'origin': 'big', 'forged': ['big', 'VIΓ'], 'suggest': ['', ''], 'relatives': ['big']}
list index out of range: {'origin': 'rid', 'forged': ['rid', 'RIΔ'], 'suggest': ['', ''], 'relatives': ['rid']}
list index out of range: {'origin': 'biz', 'forged': ['biz', 'VIZ'], 'suggest': ['', ''], 'relatives': ['biz']}
list index out of range: {'origin': 'fwd', 'forged': ['fwd', 'FЦΔ'], 'suggest': ['', ''], 'relatives': ['fwd']}
list index out of range: {'origin': 'cv', 'forged': ['cv', 'KV'], 'suggest': ['', ''], 'relatives': ['cv']}
list index out of range: {'origin': 'pin', 'forged': ['pin', 'ПIN'], 'suggest': ['', ''], 'relatives': ['pin']}
list index out of range: {'origin': 'lite', 'forged': ['lite', 'LITΣ'], 'suggest': ['', ''], 'relatives': ['lite']}
list index out of range: {'origin': 'psp', 'forged': ['psp', 'ПСП'], 'suggest': ['', ''], 'relatives': ['psp']}
list index out of range: {'origin': 'sci', 'forged': ['sci', 'СKI'], 'suggest': ['', ''], 'relatives': ['sci']}
list index out of range: {'origin': 'ent', 'forged': ['ent', 'ΣNT'], 'suggest': ['', ''], 'relatives': ['ent']}
list index out of range: {'origin': 'adsl', 'forged': ['adsl', 'ΛΔСL'], 'suggest': ['', ''], 'relatives': ['adsl']}
list index out of range: {'origin': 'expedia', 'forged': ['expedia', 'ΣKСПΣΔIΛ'], 'suggest': ['', ''], 'relatives': ['expedia']}
list index out of range: {'origin': 'se', 'forged': ['se', 'СΣ'], 'suggest': ['', ''], 'relatives': ['se']}
list index out of range: {'origin': 'rx', 'forged': ['rx', 'RKС'], 'suggest': ['', ''], 'relatives': ['rx']}
list index out of range: {'origin': 'org', 'forged': ['org', 'ORΓ'], 'suggest': ['', ''], 'relatives': ['org']}
list index out of range: {'origin': 'boy', 'forged': ['boy', 'VOY'], 'suggest': ['', ''], 'relatives': ['boy']}
list index out of range: {'origin': 'tm', 'forged': ['tm', 'TM'], 'suggest': ['', ''], 'relatives': ['tm']}
list index out of range: {'origin': 'divx', 'forged': ['divx', 'ΔIVKС'], 'suggest': ['', ''], 'relatives': ['divx']}
list index out of range: {'origin': 'swap', 'forged': ['swap', 'СЦΛП'], 'suggest': ['', ''], 'relatives': ['swap']}
list index out of range: {'origin': 'vt', 'forged': ['vt', 'VT'], 'suggest': ['', ''], 'relatives': ['vt']}
list index out of range: {'origin': 'war', 'forged': ['war', 'ЦΛR'], 'suggest': ['', ''], 'relatives': ['war']}
list index out of range: {'origin': 'mall', 'forged': ['mall', 'MΛLL'], 'suggest': ['', ''], 'relatives': ['mall']}
list index out of range: {'origin': 'scan', 'forged': ['scan', 'СKΛN'], 'suggest': ['', ''], 'relatives': ['scan']}
list index out of range: {'origin': 'inf', 'forged': ['inf', 'INF'], 'suggest': ['', ''], 'relatives': ['inf']}
list index out of range: {'origin': 'msgid', 'forged': ['msgid', 'MСΓIΔ'], 'suggest': ['', ''], 'relatives': ['msgid']}
list index out of range: {'origin': 'pierce', 'forged': ['pierce', 'ПIΣRKΣ'], 'suggest': ['', ''], 'relatives': ['pierce']}
list index out of range: {'origin': 'url', 'forged': ['url', 'URL'], 'suggest': ['', ''], 'relatives': ['url']}
list index out of range: {'origin': 'epa', 'forged': ['epa', 'ΣПΛ'], 'suggest': ['', ''], 'relatives': ['epa']}
list index out of range: {'origin': 'rural', 'forged': ['rural', 'RURΛL'], 'suggest': ['', ''], 'relatives': ['rural']}
list index out of range: {'origin': 'arg', 'forged': ['arg', 'ΛRΓ'], 'suggest': ['', ''], 'relatives': ['arg']}
list index out of range: {'origin': 'teen', 'forged': ['teen', 'TΣIN'], 'suggest': ['', ''], 'relatives': ['teen']}
list index out of range: {'origin': 'ne', 'forged': ['ne', 'NΣ'], 'suggest': ['', ''], 'relatives': ['ne']}
list index out of range: {'origin': 'netscape', 'forged': ['netscape', 'NΣTСKΛПΣ'], 'suggest': ['', ''], 'relatives': ['netscape']}
list index out of range: {'origin': 'sync', 'forged': ['sync', 'СYNK'], 'suggest': ['', ''], 'relatives': ['sync']}
list index out of range: {'origin': 'iii', 'forged': ['iii', 'III'], 'suggest': ['', ''], 'relatives': ['iii']}
list index out of range: {'origin': 'lol', 'forged': ['lol', 'LOL'], 'suggest': ['', ''], 'relatives': ['lol']}
list index out of range: {'origin': 'pets', 'forged': ['pets', 'ПΣTС'], 'suggest': ['', ''], 'relatives': ['pets']}
list index out of range: {'origin': 'ic', 'forged': ['ic', 'IK'], 'suggest': ['', ''], 'relatives': ['ic']}
list index out of range: {'origin': 'gzip', 'forged': ['gzip', 'ΓZIП'], 'suggest': ['', ''], 'relatives': ['gzip']}
list index out of range: {'origin': 'upc', 'forged': ['upc', 'UПK'], 'suggest': ['', ''], 'relatives': ['upc']}
list index out of range: {'origin': 'jelsoft', 'forged': ['jelsoft', 'JΣLСOFT'], 'suggest': ['', ''], 'relatives': ['jelsoft']}
list index out of range: {'origin': 'ha', 'forged': ['ha', 'ХΛ'], 'suggest': ['', ''], 'relatives': ['ha']}
list index out of range: {'origin': 'ho', 'forged': ['ho', 'ХO'], 'suggest': ['', ''], 'relatives': ['ho']}
list index out of range: {'origin': 'bike', 'forged': ['bike', 'VIKΣ'], 'suggest': ['', ''], 'relatives': ['bike']}
list index out of range: {'origin': 'skip', 'forged': ['skip', 'СKIП'], 'suggest': ['', ''], 'relatives': ['skip']}
list index out of range: {'origin': 'celebs', 'forged': ['celebs', 'KΣLΣVС'], 'suggest': ['', ''], 'relatives': ['celebs']}
list index out of range: {'origin': 'run', 'forged': ['run', 'RUN'], 'suggest': ['', ''], 'relatives': ['run']}
list index out of range: {'origin': 'demo', 'forged': ['demo', 'ΔΣMO'], 'suggest': ['', ''], 'relatives': ['demo']}
list index out of range: {'origin': 'belfast', 'forged': ['belfast', 'VΣLFΛСT'], 'suggest': ['', ''], 'relatives': ['belfast']}
list index out of range: {'origin': 'pci', 'forged': ['pci', 'ПKI'], 'suggest': ['', ''], 'relatives': ['pci']}
list index out of range: {'origin': 'div', 'forged': ['div', 'ΔIV'], 'suggest': ['', ''], 'relatives': ['div']}
list index out of range: {'origin': 'inbox', 'forged': ['inbox', 'INVOKС'], 'suggest': ['', ''], 'relatives': ['inbox']}
list index out of range: {'origin': 'wto', 'forged': ['wto', 'ЦTO'], 'suggest': ['', ''], 'relatives': ['wto']}
list index out of range: {'origin': 'gcc', 'forged': ['gcc', 'ΓKС'], 'suggest': ['', ''], 'relatives': ['gcc']}
list index out of range: {'origin': 'jpeg', 'forged': ['jpeg', 'JПΣΓ'], 'suggest': ['', ''], 'relatives': ['jpeg']}
list index out of range: {'origin': 'usb', 'forged': ['usb', 'UСV'], 'suggest': ['', ''], 'relatives': ['usb']}
list index out of range: {'origin': 'flip', 'forged': ['flip', 'FLIП'], 'suggest': ['', ''], 'relatives': ['flip']}
list index out of range: {'origin': 'stats', 'forged': ['stats', 'СTΛTС'], 'suggest': ['', ''], 'relatives': ['stats']}
list index out of range: {'origin': 'uv', 'forged': ['uv', 'UV'], 'suggest': ['', ''], 'relatives': ['uv']}
list index out of range: {'origin': 'intl', 'forged': ['intl', 'INTL'], 'suggest': ['', ''], 'relatives': ['intl']}
list index out of range: {'origin': 'jackson', 'forged': ['jackson', 'JΛKKСON'], 'suggest': ['', ''], 'relatives': ['jackson']}
list index out of range: {'origin': 'utc', 'forged': ['utc', 'UTK'], 'suggest': ['', ''], 'relatives': ['utc']}
list index out of range: {'origin': 'wifi', 'forged': ['wifi', 'ЦIFI'], 'suggest': ['', ''], 'relatives': ['wifi']}
list index out of range: {'origin': 'noted', 'forged': ['noted', 'NOTΣΔ'], 'suggest': ['', ''], 'relatives': ['noted']}
list index out of range: {'origin': 'dvd', 'forged': ['dvd', 'ΔVΔ'], 'suggest': ['', ''], 'relatives': ['dvd']}
list index out of range: {'origin': 'toys', 'forged': ['toys', 'TOYС'], 'suggest': ['', ''], 'relatives': ['toys']}
list index out of range: {'origin': 'usps', 'forged': ['usps', 'UСПС'], 'suggest': ['', ''], 'relatives': ['usps']}
list index out of range: {'origin': 'part', 'forged': ['part', 'ПΛRT'], 'suggest': ['', ''], 'relatives': ['part']}
list index out of range: {'origin': 'wars', 'forged': ['wars', 'ЦΛRС'], 'suggest': ['', ''], 'relatives': ['wars']}
list index out of range: {'origin': 'lg', 'forged': ['lg', 'LΓ'], 'suggest': ['', ''], 'relatives': ['lg']}
list index out of range: {'origin': 'usc', 'forged': ['usc', 'UСK'], 'suggest': ['', ''], 'relatives': ['usc']}
list index out of range: {'origin': 'ref', 'forged': ['ref', 'RΣF'], 'suggest': ['', ''], 'relatives': ['ref']}
list index out of range: {'origin': 'spy', 'forged': ['spy', 'СПY'], 'suggest': ['', ''], 'relatives': ['spy']}
list index out of range: {'origin': 'noon', 'forged': ['noon', 'NOON'], 'suggest': ['', ''], 'relatives': ['noon']}
list index out of range: {'origin': 'voip', 'forged': ['voip', 'VOIП'], 'suggest': ['', ''], 'relatives': ['voip']}
list index out of range: {'origin': 'geek', 'forged': ['geek', 'ΓΣIK'], 'suggest': ['', ''], 'relatives': ['geek']}
list index out of range: {'origin': 'quebec', 'forged': ['quebec', 'KЦUΣVΣK'], 'suggest': ['', ''], 'relatives': ['quebec']}
list index out of range: {'origin': 'judy', 'forged': ['judy', 'JUΔY'], 'suggest': ['', ''], 'relatives': ['judy']}
list index out of range: {'origin': 'toolbox', 'forged': ['toolbox', 'TOOLVOKС'], 'suggest': ['', ''], 'relatives': ['toolbox']}
list index out of range: {'origin': 'bet', 'forged': ['bet', 'VΣT'], 'suggest': ['', ''], 'relatives': ['bet']}
list index out of range: {'origin': 'pet', 'forged': ['pet', 'ПΣT'], 'suggest': ['', ''], 'relatives': ['pet']}
list index out of range: {'origin': 'uk', 'forged': ['uk', 'UK'], 'suggest': ['', ''], 'relatives': ['uk']}
list index out of range: {'origin': 'toy', 'forged': ['toy', 'TOY'], 'suggest': ['', ''], 'relatives': ['toy']}
list index out of range: {'origin': 'jet', 'forged': ['jet', 'JΣT'], 'suggest': ['', ''], 'relatives': ['jet']}
list index out of range: {'origin': 'stat', 'forged': ['stat', 'СTΛT'], 'suggest': ['', ''], 'relatives': ['stat']}
list index out of range: {'origin': 'met', 'forged': ['met', 'MΣT'], 'suggest': ['', ''], 'relatives': ['met']}
list index out of range: {'origin': 'atlas', 'forged': ['atlas', 'ΛTLΛС'], 'suggest': ['', ''], 'relatives': ['atlas']}
list index out of range: {'origin': 'tobago', 'forged': ['tobago', 'TOVΛΓO'], 'suggest': ['', ''], 'relatives': ['tobago']}
list index out of range: {'origin': 'dm', 'forged': ['dm', 'ΔM'], 'suggest': ['', ''], 'relatives': ['dm']}
list index out of range: {'origin': 'wiley', 'forged': ['wiley', 'ЦILΣY'], 'suggest': ['', ''], 'relatives': ['wiley']}
list index out of range: {'origin': 'dir', 'forged': ['dir', 'ΔIR'], 'suggest': ['', ''], 'relatives': ['dir']}
list index out of range: {'origin': 'cab', 'forged': ['cab', 'KΛV'], 'suggest': ['', ''], 'relatives': ['cab']}
list index out of range: {'origin': 'scsi', 'forged': ['scsi', 'СKСI'], 'suggest': ['', ''], 'relatives': ['scsi']}
list index out of range: {'origin': 'gun', 'forged': ['gun', 'ΓUN'], 'suggest': ['', ''], 'relatives': ['gun']}
list index out of range: {'origin': 'kirk', 'forged': ['kirk', 'KIRK'], 'suggest': ['', ''], 'relatives': ['kirk']}
list index out of range: {'origin': 'hdtv', 'forged': ['hdtv', 'ХΔTV'], 'suggest': ['', ''], 'relatives': ['hdtv']}
list index out of range: {'origin': 'tracy', 'forged': ['tracy', 'TRΛKY'], 'suggest': ['', ''], 'relatives': ['tracy']}
list index out of range: {'origin': 'gba', 'forged': ['gba', 'ΓVΛ'], 'suggest': ['', ''], 'relatives': ['gba']}
list index out of range: {'origin': 'fare', 'forged': ['fare', 'FΛRΣ'], 'suggest': ['', ''], 'relatives': ['fare']}
list index out of range: {'origin': 'vital', 'forged': ['vital', 'VITΛL'], 'suggest': ['', ''], 'relatives': ['vital']}
list index out of range: {'origin': 'worldcat', 'forged': ['worldcat', 'ЦORLΔKΛT'], 'suggest': ['', ''], 'relatives': ['worldcat']}
list index out of range: {'origin': 'fuel', 'forged': ['fuel', 'FUΣL'], 'suggest': ['', ''], 'relatives': ['fuel']}
list index out of range: {'origin': 'pads', 'forged': ['pads', 'ПΛΔС'], 'suggest': ['', ''], 'relatives': ['pads']}
list index out of range: {'origin': 'santa', 'forged': ['santa', 'СΛNTΛ'], 'suggest': ['', ''], 'relatives': ['santa']}
list index out of range: {'origin': 'dave', 'forged': ['dave', 'ΔΛVΣ'], 'suggest': ['', ''], 'relatives': ['dave']}
list index out of range: {'origin': 'fda', 'forged': ['fda', 'FΔΛ'], 'suggest': ['', ''], 'relatives': ['fda']}
list index out of range: {'origin': 'boys', 'forged': ['boys', 'VOYС'], 'suggest': ['', ''], 'relatives': ['boys']}
list index out of range: {'origin': 'prep', 'forged': ['prep', 'ПRΣП'], 'suggest': ['', ''], 'relatives': ['prep']}
list index out of range: {'origin': 'kg', 'forged': ['kg', 'KΓ'], 'suggest': ['', ''], 'relatives': ['kg']}
list index out of range: {'origin': 'tt', 'forged': ['tt', 'TT'], 'suggest': ['', ''], 'relatives': ['tt']}
list index out of range: {'origin': 'sql', 'forged': ['sql', 'СKЦL'], 'suggest': ['', ''], 'relatives': ['sql']}
list index out of range: {'origin': 'realty', 'forged': ['realty', 'RΣΛLTY'], 'suggest': ['', ''], 'relatives': ['realty']}
list index out of range: {'origin': 'proxy', 'forged': ['proxy', 'ПROKСY'], 'suggest': ['', ''], 'relatives': ['proxy']}
list index out of range: {'origin': 'vpn', 'forged': ['vpn', 'VПN'], 'suggest': ['', ''], 'relatives': ['vpn']}
list index out of range: {'origin': 'fs', 'forged': ['fs', 'FС'], 'suggest': ['', ''], 'relatives': ['fs']}
list index out of range: {'origin': 'admin', 'forged': ['admin', 'ΛΔMIN'], 'suggest': ['', ''], 'relatives': ['admin']}
list index out of range: {'origin': 'pl', 'forged': ['pl', 'ПL'], 'suggest': ['', ''], 'relatives': ['pl']}
list index out of range: {'origin': 'debug', 'forged': ['debug', 'ΔΣVUΓ'], 'suggest': ['', ''], 'relatives': ['debug']}
list index out of range: {'origin': 'fifty', 'forged': ['fifty', 'FIFTY'], 'suggest': ['', ''], 'relatives': ['fifty']}
list index out of range: {'origin': 'dip', 'forged': ['dip', 'ΔIП'], 'suggest': ['', ''], 'relatives': ['dip']}
list index out of range: {'origin': 'setup', 'forged': ['setup', 'СΣTUП'], 'suggest': ['', ''], 'relatives': ['setup']}
list index out of range: {'origin': 'ghz', 'forged': ['ghz', 'ΓХZ'], 'suggest': ['', ''], 'relatives': ['ghz']}
list index out of range: {'origin': 'dj', 'forged': ['dj', 'ΔJ'], 'suggest': ['', ''], 'relatives': ['dj']}
list index out of range: {'origin': 'emacs', 'forged': ['emacs', 'ΣMΛKС'], 'suggest': ['', ''], 'relatives': ['emacs']}
list index out of range: {'origin': 'http', 'forged': ['http', 'ХTTП'], 'suggest': ['', ''], 'relatives': ['http']}
list index out of range: {'origin': 'sbjct', 'forged': ['sbjct', 'СVJKT'], 'suggest': ['', ''], 'relatives': ['sbjct']}
list index out of range: {'origin': 'tamil', 'forged': ['tamil', 'TΛMIL'], 'suggest': ['', ''], 'relatives': ['tamil']}
list index out of range: {'origin': 'zoo', 'forged': ['zoo', 'ZOO'], 'suggest': ['', ''], 'relatives': ['zoo']}
list index out of range: {'origin': 'sega', 'forged': ['sega', 'СΣΓΛ'], 'suggest': ['', ''], 'relatives': ['sega']}
list index out of range: {'origin': 'vids', 'forged': ['vids', 'VIΔС'], 'suggest': ['', ''], 'relatives': ['vids']}
list index out of range: {'origin': 'ta', 'forged': ['ta', 'TΛ'], 'suggest': ['', ''], 'relatives': ['ta']}
list index out of range: {'origin': 'msn', 'forged': ['msn', 'MСN'], 'suggest': ['', ''], 'relatives': ['msn']}
list index out of range: {'origin': 'mini', 'forged': ['mini', 'MINI'], 'suggest': ['', ''], 'relatives': ['mini']}
list index out of range: {'origin': 'trek', 'forged': ['trek', 'TRΣK'], 'suggest': ['', ''], 'relatives': ['trek']}
list index out of range: {'origin': 'montana', 'forged': ['montana', 'MONTΛNΛ'], 'suggest': ['', ''], 'relatives': ['montana']}
list index out of range: {'origin': 'ease', 'forged': ['ease', 'ΣΛСΣ'], 'suggest': ['', ''], 'relatives': ['ease']}
list index out of range: {'origin': 'vhs', 'forged': ['vhs', 'VХС'], 'suggest': ['', ''], 'relatives': ['vhs']}
list index out of range: {'origin': 'sk', 'forged': ['sk', 'СK'], 'suggest': ['', ''], 'relatives': ['sk']}
list index out of range: {'origin': 'updates', 'forged': ['updates', 'UПΔΛTΣС'], 'suggest': ['', ''], 'relatives': ['updates']}
list index out of range: {'origin': 'wi', 'forged': ['wi', 'ЦI'], 'suggest': ['', ''], 'relatives': ['wi']}
list index out of range: {'origin': 'vp', 'forged': ['vp', 'VП'], 'suggest': ['', ''], 'relatives': ['vp']}
list index out of range: {'origin': 'freebsd', 'forged': ['freebsd', 'FRΣIVСΔ'], 'suggest': ['', ''], 'relatives': ['freebsd']}
list index out of range: {'origin': 'pst', 'forged': ['pst', 'ПСT'], 'suggest': ['', ''], 'relatives': ['pst']}
list index out of range: {'origin': 'xbox', 'forged': ['xbox', 'KСVOKС'], 'suggest': ['', ''], 'relatives': ['xbox']}
list index out of range: {'origin': 'mesa', 'forged': ['mesa', 'MΣСΛ'], 'suggest': ['', ''], 'relatives': ['mesa']}
list index out of range: {'origin': 'pda', 'forged': ['pda', 'ПΔΛ'], 'suggest': ['', ''], 'relatives': ['pda']}
list index out of range: {'origin': 'xi', 'forged': ['xi', 'KСI'], 'suggest': ['', ''], 'relatives': ['xi']}
list index out of range: {'origin': 'exp', 'forged': ['exp', 'ΣKСП'], 'suggest': ['', ''], 'relatives': ['exp']}
list index out of range: {'origin': 'teens', 'forged': ['teens', 'TΣINС'], 'suggest': ['', ''], 'relatives': ['teens']}
list index out of range: {'origin': 'gif', 'forged': ['gif', 'ΓIF'], 'suggest': ['', ''], 'relatives': ['gif']}
list index out of range: {'origin': 'cop', 'forged': ['cop', 'KOП'], 'suggest': ['', ''], 'relatives': ['cop']}
list index out of range: {'origin': 'rpg', 'forged': ['rpg', 'RПΓ'], 'suggest': ['', ''], 'relatives': ['rpg']}
list index out of range: {'origin': 'xml', 'forged': ['xml', 'KСML'], 'suggest': ['', ''], 'relatives': ['xml']}
list index out of range: {'origin': 'pmc', 'forged': ['pmc', 'ПMK'], 'suggest': ['', ''], 'relatives': ['pmc']}
list index out of range: {'origin': 'gl', 'forged': ['gl', 'ΓL'], 'suggest': ['', ''], 'relatives': ['gl']}
list index out of range: {'origin': 'psi', 'forged': ['psi', 'ПСI'], 'suggest': ['', ''], 'relatives': ['psi']}
list index out of range: {'origin': 'info', 'forged': ['info', 'INFO'], 'suggest': ['', ''], 'relatives': ['info']}
list index out of range: {'origin': 'dk', 'forged': ['dk', 'ΔK'], 'suggest': ['', ''], 'relatives': ['dk']}
list index out of range: {'origin': 'dsl', 'forged': ['dsl', 'ΔСL'], 'suggest': ['', ''], 'relatives': ['dsl']}
list index out of range: {'origin': 'phpbb', 'forged': ['phpbb', 'ПХПVV'], 'suggest': ['', ''], 'relatives': ['phpbb']}
list index out of range: {'origin': 'mid', 'forged': ['mid', 'MIΔ'], 'suggest': ['', ''], 'relatives': ['mid']}
list index out of range: {'origin': 'gbp', 'forged': ['gbp', 'ΓVП'], 'suggest': ['', ''], 'relatives': ['gbp']}
list index out of range: {'origin': 'junk', 'forged': ['junk', 'JUNK'], 'suggest': ['', ''], 'relatives': ['junk']}
list index out of range: {'origin': 'stud', 'forged': ['stud', 'СTUΔ'], 'suggest': ['', ''], 'relatives': ['stud']}
list index out of range: {'origin': 'gr', 'forged': ['gr', 'ΓR'], 'suggest': ['', ''], 'relatives': ['gr']}
list index out of range: {'origin': 'fail', 'forged': ['fail', 'FΛIL'], 'suggest': ['', ''], 'relatives': ['fail']}
list index out of range: {'origin': 'shopzilla', 'forged': ['shopzilla', 'СХOПZILLΛ'], 'suggest': ['', ''], 'relatives': ['shopzilla']}
list index out of range: {'origin': 'fo', 'forged': ['fo', 'FO'], 'suggest': ['', ''], 'relatives': ['fo']}
list index out of range: {'origin': 'airline', 'forged': ['airline', 'ΛIRLINΣ'], 'suggest': ['', ''], 'relatives': ['airline']}
list index out of range: {'origin': 'dom', 'forged': ['dom', 'ΔOM'], 'suggest': ['', ''], 'relatives': ['dom']}
list index out of range: {'origin': 'backed', 'forged': ['backed', 'VΛKKΣΔ'], 'suggest': ['', ''], 'relatives': ['backed']}
list index out of range: {'origin': 'fcc', 'forged': ['fcc', 'FKС'], 'suggest': ['', ''], 'relatives': ['fcc']}
